ID,Name,Department,GPA,Admission_Year
1,Sabbir Biswas,SWE,2.15,2018
2,Sadia Hasan,ETE,3.62,2021
3,Mizan Hasan,EEE,2.17,2024
4,Tania Chowdhury,BBA,2.98,2021
5,Farhana Hossain,ETE,2.82,2020
6,Farhana Hossain,CSE,2.30,2020
7,Sadia Khan,BBA,2.05,2021
8,Sadia Khan,Pharmacy,3.96,2022
9,Mizan Biswas,CE,3.19,2024
10,Nusrat Chowdhury,Pharmacy,2.35,2024
11,Abdul Ahmed,ME,2.26,2022
12,Sabbir Rahman,BBA,3.55,2018
13,Tania Islam,SWE,2.89,2018
14,Nusrat Biswas,CSE,2.22,2020
15,Sabbir Hossain,ME,3.57,2024
16,Tania Khan,SWE,3.87,2019
17,Nusrat Rahman,ETE,2.57,2021
18,Abdul Khan,Pharmacy,2.59,2024
19,Rafi Chowdhury,BBA,3.77,2022
20,Rakib Rahman,BBA,3.24,2021
...
